run_id,task,probe,group,job_type,key,code_sha,git_sha,stage,created
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.9_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.9_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:54:51+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.9_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.9_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:15:06+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.9_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.9_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:35:27+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:54:46+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:14:59+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:35:10+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.5_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.5_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:55:46+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.5_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.5_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:15:55+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.5_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.5_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:36:05+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.95_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.95_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:56:30+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.95_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.95_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:16:37+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.95_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.95_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:36:53+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.99_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.99_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:54:04+00:00
